token,word,pos,contfunc,tobiaccent,tobiboundary,accented,boundary,prenuclear,nuclear,accenttype,filename,wordmin,wordmax,stressmin,stressmax,svmin,svmax,sv,phonwordmin,phonwordmax,phonword,durword,durstress,dursv,durphonword,word.phonerate,word.syllrate,stress.phonerate,stress.syllrate,phonword.phonerate,phonword.syllrate,int.sv,f0.word.max,f0.word.min,f0.word.range,f0.stress.max,f0.stress.min,f0.stress.range,f0.sv.max,f0.sv.min,f0.sv.range,log.f0.word.max,log.f0.stress.max,log.f0.sv.max,log.f0.word.max.norm,log.f0.stress.max.norm,log.f0.sv.max.norm,int.sv.norm,word.phonerate.norm,word.syllrate.norm,stress.phonerate.norm,stress.syllrate.norm,phonerate.file.mean,phonerate.file.sd,syllrate.file.mean,syllrate.file.sd,word.phonerate.norm.file,word.syllrate.norm.file,stress.phonerate.norm.file,stress.syllrate.norm.file,phonword.phonerate.norm.file,phonword.syllrate.norm.file,log.wordfreq.google,log.wordfreq.switchboard,log.wordfreq.buckeye,ba.16,pa.16,bm.16,pm.16,bi.16,pi.16,ba.32,pa.32,bm.32,pm.32,bi.32,pi.32,t01.ba,t02.ba,t03.ba,t04.ba,t05.ba,t06.ba,t07.ba,t08.ba,t09.ba,t10.ba,t11.ba,t12.ba,t13.ba,t14.ba,t15.ba,t16.ba,t17.ba,t18.ba,t19.ba,t20.ba,t21.ba,t22.ba,t23.ba,t24.ba,t25.ba,t26.ba,t27.ba,t28.ba,t29.ba,t30.ba,t31.ba,t32.ba,t01.pa,t02.pa,t03.pa,t04.pa,t05.pa,t06.pa,t07.pa,t08.pa,t09.pa,t10.pa,t11.pa,t12.pa,t13.pa,t14.pa,t15.pa,t16.pa,t17.pa,t18.pa,t19.pa,t20.pa,t21.pa,t22.pa,t23.pa,t24.pa,t25.pa,t26.pa,t27.pa,t28.pa,t29.pa,t30.pa,t31.pa,t32.pa,t01.bm,t02.bm,t03.bm,t04.bm,t05.bm,t06.bm,t07.bm,t08.bm,t09.bm,t10.bm,t11.bm,t12.bm,t13.bm,t14.bm,t15.bm,t16.bm,t17.bm,t18.bm,t19.bm,t20.bm,t21.bm,t22.bm,t23.bm,t24.bm,t25.bm,t26.bm,t27.bm,t28.bm,t29.bm,t30.bm,t31.bm,t32.bm,t01.pm,t02.pm,t03.pm,t04.pm,t05.pm,t06.pm,t07.pm,t08.pm,t09.pm,t10.pm,t11.pm,t12.pm,t13.pm,t14.pm,t15.pm,t16.pm,t17.pm,t18.pm,t19.pm,t20.pm,t21.pm,t22.pm,t23.pm,t24.pm,t25.pm,t26.pm,t27.pm,t28.pm,t29.pm,t30.pm,t31.pm,t32.pm,t01.bi,t02.bi,t03.bi,t04.bi,t05.bi,t06.bi,t07.bi,t08.bi,t09.bi,t10.bi,t11.bi,t12.bi,t13.bi,t14.bi,t15.bi,t16.bi,t17.bi,t18.bi,t19.bi,t20.bi,t21.bi,t22.bi,t23.bi,t24.bi,t25.bi,t26.bi,t27.bi,t28.bi,t29.bi,t30.bi,t31.bi,t32.bi,t01.pi,t02.pi,t03.pi,t04.pi,t05.pi,t06.pi,t07.pi,t08.pi,t09.pi,t10.pi,t11.pi,t12.pi,t13.pi,t14.pi,t15.pi,t16.pi,t17.pi,t18.pi,t19.pi,t20.pi,t21.pi,t22.pi,t23.pi,t24.pi,t25.pi,t26.pi,t27.pi,t28.pi,t29.pi,t30.pi,t31.pi,t32.pi,max.f0.sv.st,min.f0.sv.st,range.f0.sv.st,vel.f0.sv.st,mintime,maxtime,jump,max.f0.sv.st.norm
244,here,Adverb2,Content,NA,L-H%,0,1,0,0,0,s10-1,9.9134375,10.0394375,9.9134375,10.0394375,9.9134375,9.9668125,iy,9.9134375,10.1224375,here i,0.126,0.126,0.053375,0.209,15.87301587,7.936507937,15.87301587,7.936507937,14.35406699,9.56937799,61.4726978,180.6820794,139.5375954,41.14448392,180.6820794,139.5375954,41.14448392,152.2915536,139.5375954,12.75395817,5.196739019,5.196739019,5.025796799,-0.864027494,-0.864027494,-1.188747185,-1.366665251,-0.250539554,-0.330560661,-0.264251723,-0.436862067,15.16135,3.556076,6.064988,1.808018,0.200126733,1.035122403,0.200126733,1.035122403,-0.227015118,1.938249503,-7.694411,-6.369313,-6.229254,0.3125,0.1875,0.5625,0.0625,0.875,0,0.21875,0.15625,0.40625,0.09375,0.875,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.10427624,85.60754205,-0.4967341888,-10.13743242,9.9625,9.9135,none,-1.320293335
245,i,Pronoun,Function,NA,NA,0,0,0,0,0,s10-1,10.0394375,10.1224375,10.0394375,10.1224375,10.0394375,10.1224375,ay,10.0394375,10.0394375,NA,0.083,0.083,0.083,0,12.04819277,12.04819277,12.04819277,12.04819277,0,0,64.39223818,179.4466718,150.6750659,28.7716059,179.4466718,150.6750659,28.7716059,179.4466718,150.6750659,28.7716059,5.189878071,5.189878071,5.189878071,-1.098172448,-1.098172448,-0.184465924,0.476087853,-1.608323371,1.475724137,-1.621635825,1.543996944,15.16135,3.556076,6.064988,1.808018,-0.875447327,3.309261728,-0.875447327,3.309261728,-4.263505617,-3.354495365,-8.006545,-3.246163,-3.627101,0,0.1875,0,0.0625,0,0.0625,0,0.15625,0,0.03125,0,0.03125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.88331738,87.01456603,-2.868751352,-35.8593919,10.1215,10.0415,none,-0.09711848031
246,do,Verb2,Content,L+H*,NA,1,0,1,0,1,s10-1,10.1224375,10.2364375,10.1224375,10.2364375,10.1743175,10.2364375,uw,10.1224375,10.2364375,do,0.114,0.114,0.05188,0.114,17.54385965,8.771929825,17.54385965,8.771929825,17.54385965,8.771929825,62.82317599,228.1457054,146.9090542,81.23665113,228.1457054,146.9090542,81.23665113,228.1457054,199.3821024,28.76360299,5.429984483,5.429984483,5.429984483,1.177092042,1.189172203,1.640442276,-0.519437421,0.15597275,-0.142726022,-0.287752586,-0.281580744,15.16135,3.556076,6.064988,1.808018,0.66998277,1.497187431,0.66998277,1.497187431,0.66998277,1.497187431,-7.198765,-4.986834,-5.351373,0,0.25,0,0.375,0,0.625,0,0.3125,0,0.28125,0,0.65625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,93.91926344,91.60533071,2.313932731,70.11917367,10.1745,10.2075,none,1.588630125
247,like,Verb,Content,NA,NA,0,0,0,0,0,s10-1,10.2364375,10.3964375,10.2364375,10.3964375,10.3068125,10.3668125,ay,10.2364375,10.3964375,like,0.16,0.16,0.070375,0.16,18.75,6.25,18.75,6.25,18.75,6.25,65.43069932,221.7119958,139.2629234,82.44907241,221.7119958,139.2629234,82.44907241,152.1953925,139.2629234,12.93246915,5.401379223,5.401379223,5.025165172,0.871921289,0.965914753,-0.833518582,1.255965138,0.18786651,-1.522234871,-0.277996109,-1.061303242,15.16135,3.556076,6.064988,1.808018,1.009160097,0.102328627,1.009160097,0.102328627,1.009160097,0.102328627,-7.67393,-4.851569,-4.327796,0,0.25,0,0.3125,0,0.0625,0,0.1875,0,0.1875,0,0.09375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,86.96281916,85.53780898,-1.425010177,-24.15271486,10.3665,10.3075,none,-0.8082966318
248,columbus,Adjective,Content,NA,NA,0,0,0,0,0,s10-1,10.3964375,10.6834375,10.5268125,10.6052875,10.5762115,10.6052875,ah,10.3964375,10.6834375,columbus,0.287,0.078475,0.03,0.287,20.90592334,10.45296167,38.22873527,12.74291176,20.90592334,10.45296167,63.94092227,193.9388606,147.3086887,46.63017195,171.9490671,152.1056892,19.84337789,162.98095,152.1056892,10.87526084,5.267542958,5.147198311,5.093633323,-0.257719856,-0.838183753,-0.517678437,-0.519012881,0.704639299,0.792738089,1.627920012,1.370890995,15.16135,3.556076,6.064988,1.808018,1.615424795,2.426952427,6.486752608,3.693505128,1.615424795,2.426952427,-14.243554,-13.092745,-7.167524,0,0.3125,0,0.3125,0,0.0625,0,0.21875,0,0.1875,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,88.18887191,87.44772228,-0.741149629,-26.46962961,10.6045,10.5765,none,-0.4791807464
249,public,Adjective,Content,NA,NA,0,0,0,0,0,s10-1,10.6834375,10.8734375,10.6834375,10.8266245,10.7268125,10.7854045,ah,10.6834375,10.8734375,public,0.19,0.143187,0.043375,0.19,21.05263158,10.52631579,20.9516227,6.983874234,21.05263158,10.52631579,64.57044885,160.2624079,127.4677502,32.79465776,160.2624079,130.5690701,29.6933378,158.2482213,137.296795,20.95142624,5.076812521,5.076812521,5.064164821,-0.839886634,-0.698194251,-0.298003598,-0.411728208,0.858449821,1.012099266,0.093947746,0.147562919,15.16135,3.556076,6.064988,1.808018,1.656680447,2.46752399,1.628275859,0.508228477,1.656680447,2.46752399,-8.553766,-8.467772,-9.770213,0,0.3125,0,0.5,0,0.125,0,0.21875,0,0.3125,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,87.33284893,85.25348272,-2.079366209,-36.48010893,10.7845,10.7275,none,-0.4063284783
250,schools,Noun,Content,L+H*,L-H%,1,1,0,1,2,s10-1,10.8734375,11.40953054,10.8734375,11.40953054,11.0368125,11.0968125,uw,10.8734375,11.6554375,schools but,0.536093037,0.536093037,0.093375,0.782,9.326739315,1.865347863,9.326739315,1.865347863,10.23017903,2.557544757,67.85234089,209.3749103,108.9378958,100.4370145,209.3749103,108.9378958,100.4370145,202.8052928,185.0966605,17.70863222,5.344126474,5.344126474,5.31224637,1.322454781,1.485057881,1.454072794,1.223343294,-0.955486518,-1.172567217,-0.662092748,-0.949077148,15.16135,3.556076,6.064988,1.808018,-1.640744091,-2.322786685,-1.640744091,-2.322786685,-1.386688859,-1.939938232,-9.662006,-8.448354,-8.853923,0.4375,0.375,0.5625,0.375,0.3125,0.0625,0.34375,0.21875,0.40625,0.28125,0.21875,0.09375,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,91.94724389,90.4005355,-1.546708388,-28.64274792,11.0965,11.0425,none,1.47494572
251,but,Conjunction,Function,NA,NA,0,0,0,0,0,s10-1,11.40953054,11.6554375,11.40953054,11.6554375,11.4768125,11.6335075,ah,11.40953054,11.40953054,NA,0.245906963,0.245906963,0.067281963,0,12.19973586,4.066578619,12.19973586,4.066578619,0,0,64.29455102,149.6946025,65.06329827,84.6313042,149.6946025,65.06329827,84.6313042,149.6946025,128.9868475,20.70775494,5.008597235,5.008597235,5.008597235,-0.729057146,-0.379038784,-0.25223355,0.245749683,0.118856134,-0.34971907,0.210344925,-0.070347756,15.16135,3.556076,6.064988,1.808018,-0.832832072,-1.105303919,-0.832832072,-1.105303919,-4.263505617,-3.354495365,-7.160412,-4.666279,-4.502355,0.1875,0,0.1875,0,0.375,0.0625,0.28125,0.03125,0.25,0,0.4375,0.0625,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,86.63410685,84.9109243,-1.723182545,-17.4058843,11.5765,11.4775,none,-0.2427894577
252,yknow,Discourse,Function,NA,L-;L-,0,1,0,0,0,s10-1,11.6554375,12.0354375,11.7726265,12.0354375,11.8168125,12.0354375,ow,11.6554375,12.0354375,yknow,0.38,0.262811,0.044186,0.38,10.52631579,5.263157895,7.610031544,3.805015772,10.52631579,5.263157895,58.85233737,158.9701606,115.3890253,43.58113533,133.2698275,115.3890253,17.88080222,125.9433458,115.3890253,10.55432049,5.068716516,4.892375852,4.835832169,-0.334187354,-1.107652554,-1.300932617,-1.361770117,0.625055858,0.564223638,-0.105224095,-0.15620364,15.16135,3.556076,6.064988,1.808018,-1.303412585,-0.443485687,-2.123497489,-1.249972195,-1.303412585,-0.443485687,-18.701984,-14.191357,-4.351893,0.375,0,0.3125,0.0625,0.5,0.0625,0.46875,0,0.34375,0.03125,0.46875,0.0625,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,83.71581004,82.22218597,-1.493624068,-9.762248811,11.9705,11.8175,none,-1.28829081
253,i,Pronoun,Function,NA,NA,0,0,0,0,0,s10-1,12.4474375,12.6824375,12.4474375,12.6824375,12.4474375,12.6824375,ay,12.4474375,12.4474375,NA,0.235,0.235,0.235,0,4.255319149,4.255319149,4.255319149,4.255319149,0,0,61.76718716,154.093343,128.1645238,25.92881914,154.093343,128.1645238,25.92881914,154.093343,128.1645238,25.92881914,5.037558542,5.037558542,5.037558542,-0.550089828,-0.273617734,-0.19823259,-0.415080557,-1.346480914,-0.408642569,-1.217329788,-0.133478037,15.16135,3.556076,6.064988,1.808018,-3.066872263,-1.000913072,-3.066872263,-1.000913072,-4.263505617,-3.354495365,-8.006545,-3.246163,-3.627101,0.5,0.0625,0.25,0,0.625,0.0625,0.71875,0.03125,0.375,0,0.8125,0.03125,1,1,1,0,0,0,1,1,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.12653757,84.602816,2.52372157,36.57567492,12.5625,12.6315,none,-0.208304675
254,i,Pronoun,Function,NA,%,0,1,0,0,0,s10-1,12.6824375,12.8424375,12.6824375,12.8424375,12.6824375,12.8424375,ay,12.6824375,12.6824375,NA,0.16,0.16,0.16,0,6.25,6.25,6.25,6.25,0,0,64.25863389,165.4626478,152.159228,13.30341975,165.4626478,152.159228,13.30341975,165.4626478,152.159228,13.30341975,5.108745476,5.108745476,5.108745476,-0.453860191,-0.176636728,-0.002133135,0.85130099,-0.668394216,0.702587458,-0.566285133,0.824624735,15.16135,3.556076,6.064988,1.808018,-2.505950379,0.102328627,-2.505950379,0.102328627,-4.263505617,-3.354495365,-8.006545,-3.246163,-3.627101,0,0.125,0,0.1875,0,0.125,0.09375,0.0625,0.03125,0.125,0.0625,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.436113,87.08492126,1.351191739,16.47794803,12.7315,12.8135,none,0.008723489359
255,hate,Verb,Content,L+H*,NA,1,0,1,0,1,s10-1,12.8424375,13.1194375,12.8424375,13.1194375,12.9844955,13.0925625,ey,12.8424375,13.2624375,hate when,0.277,0.277,0.142058,0.42,10.83032491,3.610108303,10.83032491,3.610108303,14.28571429,4.761904762,64.89166178,221.8508432,153.5156217,68.33522152,221.8508432,153.5156217,68.33522152,221.8508432,203.3458414,18.50500177,5.402005279,5.402005279,5.402005279,1.36098679,1.36098679,1.586259412,1.149388595,-0.173815797,-1.104726807,-0.145608564,-1.155726259,15.16135,3.556076,6.064988,1.808018,-1.217922533,-1.357773925,-1.217922533,-1.357773925,-0.246236502,-0.720724704,-11.053348,-9.043863,-9.364748,0,0.75,0,0.75,0,0.75,0,0.71875,0,0.6875,0,0.6875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,1,0,1,1,0,93.41894702,91.92286656,1.496080462,20.49425291,12.9845,13.0575,none,1.584315708
256,when,Adverb2,Content,NA,NA,0,0,0,0,0,s10-1,13.1194375,13.2624375,13.1194375,13.2624375,13.1925625,13.2225625,eh,13.1194375,13.1194375,NA,0.143,0.143,0.073125,0,20.97902098,6.993006993,20.97902098,6.993006993,0,0,61.06001374,196.4166609,151.9673717,44.44928915,196.4166609,151.9673717,44.44928915,174.4737113,166.6502412,7.823470054,5.280238224,5.280238224,5.161774078,0.503053062,0.503053062,-0.189403522,-1.245610997,1.265096148,0.437784601,1.351385088,0.540756544,15.16135,3.556076,6.064988,1.808018,1.635980496,0.513279731,1.635980496,0.513279731,-4.263505617,-3.354495365,-7.658951,-5.74652,-5.772013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.32953605,88.54046257,-0.7890734855,-27.20943053,13.2225,13.1935,none,-0.0970780515
257,people,Noun,Content,H*,NA,1,0,0,1,2,s10-1,13.2624375,13.4824375,13.2624375,13.3802105,13.3255935,13.3802105,iy,13.2624375,13.4824375,people,0.22,0.117773,0.063156,0.22,18.18181818,9.090909091,16.98182096,8.49091048,18.18181818,9.090909091,63.18134351,182.8389823,144.2347795,38.60420284,182.8389823,151.9648327,30.87414964,182.8389823,169.2360451,13.6029372,5.208605887,5.208605887,5.208605887,0.128966961,0.159075691,0.331959596,0.518835587,0.389149143,0.735278683,0.089366885,0.384533118,15.16135,3.556076,6.064988,1.808018,0.849382348,1.67361226,0.511932524,1.341757925,0.849382348,1.67361226,-7.894181,-5.834333,-5.400765,0,0,0,0.125,0,0.0625,0,0,0,0.09375,0,0.03125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.07029315,88.82252018,-1.247772965,-27.12549924,13.3795,13.3335,none,0.3605759458
